Receiving Report #,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability, Retail($) ,Cost($),,Dest (Y/N),RETAIL YEAR
006314965,,UPTON SCONCES,Lighting,,,,43600527,,,0, $725 , $136 ,, Y ,2020
007001766,,PARKER QUEEN BED HB,Furniture,,polo,Display,,,,Sellable, $-   , $-   ,,,#N/A
007002338,,VARICK FLOOR LAMP WHITE PAPER SHADE,Lighting,,,Display,,,,Sellable, $-   , $-   ,, Y ,#N/A
006310380,,VARICK FLOOR LIGHT IN NB/RL1345NB,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007001204,,VARICK TABLE LAMP,Lighting,,,,42559641,,,0," $1,389 ", $323 ,, Y ,2014
006310412,,VARICK TABLE LAMP CRYSTAL IN NB W/SHADE/RL3941CG/NB-P,Lighting,,,,42485755,,,0," $1,139 ", $307 ,, Y ,2019
007001768,,PARKER QUEEN BED SR,Furniture,,polo,Display,,,,Sellable, $-   , $-   ,,,#N/A
007000236,,PARKER SIDE TABLE,Furniture,,polo,Display,44044147,,,Sellable," $3,495 ", $968 ,,,2020
006318423,,PARKER SIDE TABLE STAINLESS STEEL,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007001186,,VARICK TABLE LAMP NB W/ SHADE,Lighting,,,,42485755,,,0," $1,139 ", $307 ,, Y ,2019
007000176,,WARNER PHARMACY FLOOR LAMP PN /  RL1145CG-PN,Lighting,,,,42559682,,,0," $2,079 ", $481 ,, Y ,2024
006303803,,PENTHOUSE SUITE FLUTED COMMODE/35010-48,Furniture,,polo,Display,43652734,,,Sellable, $-   , $-   ,,,2020
007000700,,PERRIN SIDE TABLE,Furniture,,polo,Display,43520535,,,Sellable," $4,295 ", $862 ,,,2019
006306604,,WARNER PHARMACY TABLE LAMP/RL3147CG/NB,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002488,,WESTBURY LANTERN,Lighting,,,Display,44261626,,,0," $3,909 ", $794 ,, Y ,2013
006314132,,WESTBURY LANTERN NB RL5180NB,Lighting,,,,4300592,,,0, $-   , $-   ,, Y ,#N/A
007001183,,WESTBURY MIRRORED SCONCE,Lighting,,,,43587096,,,0," $1,089 ", $239 ,, Y ,2024
007000240,,PRYCE BEDROOM CHEST,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007002812,,PRYCE BOOKCAE,Furniture,,polo,Display,44044402,,,Sellable," $12,595 "," $4,148 ",,,2020
007002773,,PRYCE BOOKCASE,Furniture,,polo,Display,440444022,,,Sellable, $-   , $-   ,,,#N/A
007002772,,PRYCE BOOKCASE SHELVES \,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007000185,,PRYCE CLUB CHAIR,Furniture,,polo,Display,44075349,,,Sellable," $5,031 "," $1,084 ",,,2020
007000420,,PRYCE CLUB CHAIR,Furniture,,polo,Display,76866490,,,Sellable," $13,189 "," $3,769 ",,,2024
007002594,,WHITE LAMP SHADE,Lighting,,,,,,,Sellable, $-   , $-   ,, Y ,#N/A
007002595,,WHITE LAMP SHADE,Lighting,,,,,,,Sellable, $-   , $-   ,, Y ,#N/A
007002592,,WHITE LINEN LAMP SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002554,,WHITE ROUND SHADE,Lighting,,,Display,,,,0, $-   , $-   ,, Y ,#N/A
006315753,,WHITE SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007001882,,PRYCE CLUB CHAIR,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007003002,,Pryce club chair,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007003138,,DORSET RUG,Rug,,,Display,,,,0, $-   , $-   ,,,#N/A
007000016,,PRYCE CLUB CHAIR RLU3043-37,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
006316629,,WHITE SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007000165,,WHITE SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002339,,WHITE SHADE,Lighting,,,Display,,,,0, $-   , $-   ,, Y ,#N/A
006310372,,WILLOUGHBY MEDIUM PICTURE LIGHT IN BRONZE/RL2697BZ,Lighting,,,,42485805,,,0, $685 , $216 ,, Y ,2019
007000017,,PRYCE CLUB CHAIR RLU3043-37,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
